NumeroDaAmostra	DataDeRegistroNoSISAGUA	DataColeta	DescricaoDoLocal	Zona	CategoriaArea	Area	TipoDoLocal	NomeLocal	Latitude	Longitude	fk_Municipio_CodigoDoIBGE	Procedencia	PontoDeColeta	Motivo	Hora
220101000116	2022-09-02 10:56:55	2022-02-21	RUA BARTOLOMEU DE ANACLETO 10	Urbana	Bairro	SALGADO					260410	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	08:41:00
220101000118	2022-09-02 11:02:11	2022-02-21	ETA BEZERROS	Urbana	Bairro	CENTRO					260190	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	09:45:00
220101000119	2022-09-02 11:05:43	2022-02-21	ETA BEZERROS								260190	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:45:00
220101000125	2022-09-02 10:59:07	2022-02-21	ETA BEZERROS								260190	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:50:00
22010100124	2022-09-02 10:56:13	2022-02-21	ETA BEZERROS	Urbana	Bairro	CENTRO					260190	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	09:50:00
220101000126	2022-09-02 11:00:32	2022-02-21	RUA SAO PEDRO SN	Urbana	Bairro	CRUZEIRO					260640	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:20:00
220101000120	2022-09-02 11:08:05	2022-02-21	RUA SÃO PEDRO S/N	Urbana	Bairro	CRUZEIRO					260640	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:23:00
220101000121	2022-09-02 11:09:39	2022-02-21	RUA SÃO PEDRO S/N								260640	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	10:23:00
220101000127	2022-09-02 11:02:06	2022-02-21	RUA SAO PEDRO SN								260640	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	10:30:00
220110000015	2022-03-29 15:26:57	2022-02-22	PARQUE DA BOLANDEIRA	Urbana	Bairro	BOCA DO RIO			-12.973.598	-38.425.973	292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	09:55:00
220110000016	2022-03-29 15:29:43	2022-02-22	PARQUE DA BOLANDEIRA	Urbana	Bairro	BOCA DO RIO			-12.973.598	-38.425.973	292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:05:00
220110000017	2022-03-29 15:31:29	2022-02-22	AVENIDA EDGARD SANTOS	Urbana	Bairro	CABULA	Estabelecimento de saúde	HOSPITAL ROBERTO SANTOS 	-12.958.418	-38.452.385	292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	10:30:00
220110000018	2022-03-29 15:33:26	2022-02-22	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA LIBERDADE RESERVATORIO R7 L05069	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	10:41:00
220110000019	2022-03-29 15:35:05	2022-02-22	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA DA CAMARA NOVA RESERVATORIO R7 L05027	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	10:46:00
220110000020	2022-03-29 15:36:43	2022-02-22	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA DA ETA PRINCIPAL	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	10:46:00
220110000021	2022-03-29 15:38:58	2022-02-22	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA ALTA CARGA DA BOLANDEIRA RESERVATORIO R7 L05072	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	10:56:00
220110000022	2022-03-29 15:40:30	2022-02-22	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA SAO GONCALO RESERVATORIO R7	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	11:01:00
220110000023	2022-03-29 15:41:55	2022-02-22	LADEIRA DO ALTO DA BOLA	Urbana	Bairro	FEDERACAO	Outro	EMBASA FEDERACAO RESERVATORIO	-129.930.716	-385.036.095	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:31:00
220110000024	2022-03-29 15:43:25	2022-02-22	PRAÇA ALMIRANTE COELHO NETO, N 5	Urbana	Bairro	BARRIS	Praça	PRACA ALMIRANTE COELHO NETO EM FRENTE A CLINICA NEPHRON	-12.987.078	-385.140.828	292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	14:51:00
220110000025	2022-03-29 15:45:04	2022-02-22	RUA SALDANHA MARINHO	Urbana	Bairro	CAIXA D'AGUA	Estabelecimento de saúde	HOSPITAL ANA NERY 	-129.569.507	-384.955.638	292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	15:09:00
220110000026	2022-03-29 15:46:42	2022-02-22	RUA PLÍNIO DE LIMA	Urbana	Bairro	BONFIM	Estabelecimento de saúde	HOSPITAL SAGRADA FAMILIA	-129.245.802	-385.105.627	292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	15:22:00
220110000027	2022-03-29 15:48:07	2022-02-22	AVENIDA DENDEZEIROS	Urbana	Bairro	ROMA	Estabelecimento de saúde	HOSPITAL IRMA DULCE	-129.347.955	-385.068.328	292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	15:42:00
220101000067	2022-04-29 15:29:38	2022-02-23	TRAVESSA MINAS GERAIS, S/N, SANTO ANTÔNIO	Urbana	Bairro	SANTO ANTONIO					291840	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	14:30:00
FR 11083	2024-05-14 08:47:44	2022-02-24									320320	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Desastre	08:32:00
220902000023	2022-10-05 15:02:03	2022-03-01	FAZENDA LOPES	Rural	Núcleo/Propriedade Rural	LOPES II ACUDE	Outro	LOPES II			260200	SOLUÇÃO ALTERNATIVA		Rotina	09:50:00
220902000021	2022-10-05 14:55:18	2022-03-01	SÍTIO CAMARA	Rural	Núcleo/Propriedade Rural	SITIO CAMARA	Outro	BARRAGEM DO CAMARA			260200	SOLUÇÃO ALTERNATIVA		Rotina	12:30:00
220101000097	2022-05-26 10:41:08	2022-03-09	RUA DIRETA S/N B ALTO DO SAO ROQUE	Urbana	Bairro	ALTO DO SAO ROQUE 					293290	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	11:00:00
220101000089	2022-07-07 13:19:22	2022-03-09	ROD BR 415 S/N SÃO LOURENÇO	Urbana	Área urbana isolada	BR 101					291480	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	14:50:00
FR 13666	2024-05-14 09:26:08	2022-03-09									320320	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Desastre	14:54:00
220101000083	2022-05-03 13:56:31	2022-03-09	RUA PRINCESA ISABEL, S/N; SANTO ANTÔNIO	Urbana	Bairro	SANTO ANTONIO					291840	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	15:10:00
220159000058	2022-04-20 16:09:59	2022-03-11	RUA A N 358, TAPERA, ILHEUS - BA	Urbana	Bairro	CENTRO					291360	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	07:00:00
220101000178	2022-04-04 10:21:18	2022-03-14		Rural	Povoado/Lugarejo	POVOADO POCO DA CERCA					261390	SOLUÇÃO ALTERNATIVA		Rotina	08:34:00
220101000179	2022-04-04 10:33:20	2022-03-14		Rural	Povoado/Lugarejo	POVOADO POCO DA CERCA					261390	SOLUÇÃO ALTERNATIVA		Rotina	08:34:00
220532000064	2023-02-27 11:20:13	2022-03-14	SITIO LAJES GARANHUNS PE								260600	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	08:40:00
220532000063	2023-02-27 11:05:47	2022-03-14	SITIO LAJES ZONA RURAL								260600	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	08:43:00
220532000065	2023-02-27 12:21:20	2022-03-14	ETA ESTAÇÃO DE TRATAMENTO DE ÁGUA	Urbana	Bairro	SAO JOSE					260600	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	09:20:00
1	2022-03-25 14:29:09	2022-03-14	SÍTIO MULUNGU								260280	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	12:33:00
220631000035	2022-04-05 14:01:52	2022-03-14	SÍTIO MULUNGU								260280	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	12:33:00
FR 14710	2022-06-23 08:12:07	2022-03-15		Rural	Povoado/Lugarejo	DEGREDO	Casa	AUZENIR SONIA C CAVATTI			320320	SOLUÇÃO ALTERNATIVA		Desastre	14:57:00
220101000237	2022-09-02 10:43:11	2022-03-21	RUA BARTOLOMEU ANACLETO 10	Urbana	Bairro	SALGADO					260410	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	08:10:00
220101000244	2022-09-02 11:11:51	2022-03-21	RUA BOA VIAGEM 700	Urbana	Bairro	PETROPOLIS					260410	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	08:10:00
220101000238	2022-09-02 10:45:33	2022-03-21	RUA BOA VIAGEM 700	Urbana	Bairro	PETROPOLIS					260410	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	08:15:00
220101000243	2022-09-02 11:03:40	2022-03-21	RUA BARTOLOMEU DE ANACLETO 10	Urbana	Bairro	SALGADO					260410	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	08:35:00
220101000245	2022-09-02 11:13:31	2022-03-21	ETA BEZERROS	Urbana	Bairro	CENTRO					260190	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	11:10:00
220101000239	2022-10-14 10:07:56	2022-03-21	ETA BEZERROS	Urbana	Bairro	CENTRO					260190	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	11:12:00
220101000248	2022-09-02 11:20:50	2022-03-21	RUA SAO PEDRO SN								260640	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	11:14:00
220101000246	2022-09-02 11:17:25	2022-03-21	ETA BEZERROS	Urbana	Bairro	CENTRO					260190	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	11:15:00
220101000240	2022-09-02 10:47:43	2022-03-21	ETA BEZERROS								260190	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	11:17:00
220101000242	2022-09-02 10:53:48	2022-03-21	RUA SÃO PEDRO S/N								260640	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	11:40:00
220101000247	2022-09-02 11:18:40	2022-03-21	RUA SAO PEDRO SN	Urbana	Bairro	CRUZEIRO					260640	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	11:45:00
220101000241	2022-09-02 10:51:47	2022-03-21	RUA SÃO PEDRO S/N	Urbana	Bairro	CRUZEIRO					260640	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	11:50:00
220110000030	2022-04-13 16:01:51	2022-03-22	RUA DR OSVALDO JOSÉ LEAL - AGUAS CLARAS	Urbana	Bairro	PIRAJA	Outro	EMBASA PIRAJA RESERVATORIO	-128.937.082	-38.440.751	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:20:00
220110000032	2022-04-13 15:54:51	2022-03-22	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA LIBERDADE RESERVATORIO R7 L05069	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:38:00
220110000036	2022-04-13 15:35:47	2022-03-22	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA SAO GONCALO RESERVATORIO R7	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:42:00
220110000033	2022-04-13 15:53:01	2022-03-22	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA DA CAMARA NOVA RESERVATORIO R7 L05027	-12.958.587	-38.467.378	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:47:00
220110000034	2022-04-13 15:44:56	2022-03-22	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA DA ETA PRINCIPAL	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:50:00
220110000035	2022-04-13 15:42:34	2022-03-22	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA ALTA CARGA DA BOLANDEIRA RESERVATORIO R7 L05072	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:53:00
220110000031	2022-04-13 15:57:38	2022-03-22	AVENIDA EDGARD SANTOS	Urbana	Bairro	CABULA	Estabelecimento de saúde	HOSPITAL ROBERTO SANTOS 	-129.584.188	-384.523.851	292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	10:00:00
220110000028	2022-04-13 16:08:24	2022-03-22	PARQUE DA BOLANDEIRA, SN	Urbana	Bairro	BOCA DO RIO			-129.735.982	-38.425.973	292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:25:00
220110000029	2022-04-13 16:06:39	2022-03-22	PARQUE DA BOLANDEIRA, SN	Urbana	Bairro	BOCA DO RIO			-129.735.982	-38.425.973	292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:29:00
220110000037	2022-04-13 15:33:07	2022-03-22	LADEIRA DO ALTO DA BOLA	Urbana	Bairro	FEDERACAO	Outro	EMBASA FEDERACAO RESERVATORIO	-129.930.716	-385.036.095	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:31:00
220110000038	2022-04-13 15:26:07	2022-03-22	RUA AUGUSTO VIANA	Urbana	Bairro	CANELA	Estabelecimento de saúde	HOSPITAL DAS CLINICAS	-129.926.779	-385.198.351	292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	14:47:00
220110000039	2022-04-13 15:21:33	2022-03-22	RUA SALDANHA MARINHO	Urbana	Bairro	CAIXA D'AGUA	Estabelecimento de saúde	HOSPITAL ANA NERY 	-129.569.507	-384.955.637	292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	15:01:00
220110000040	2022-04-13 15:15:31	2022-03-22	AVENIDA DENDEZEIROS	Urbana	Bairro	ROMA	Estabelecimento de saúde	HOSPITAL IRMA DULCE	-129.347.955	-385.068.328	292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	15:32:00
220203000411	2022-05-02 08:36:14	2022-03-22	RUA-DAVINCE N°283	Urbana	Bairro	BAIRRO CENTRO			-1.442.651	-4.437.199	314270	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	16:00:00
220101000108	2024-03-14 08:33:37	2022-03-24	ZONA RURAL CERAIMA	Rural	Povoado/Lugarejo	NUCLEO HABITACIONAL DE CERAIMA					291170	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	08:10:00
220101000106	2022-08-31 14:41:21	2022-03-24	RUA JAGUAQUARA, S/N PRIMAVERA	Urbana	Bairro	PRIMAVERA					291640	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	09:00:00
FR 17031	2024-05-14 09:51:02	2022-03-24									320320	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Desastre	12:04:00
220307000560	2022-05-03 15:47:34	2022-03-28	RUA DO ROSARIO	Urbana	Sede de distrito (ou vila)	PADRE FIALHO					314090	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	09:10:00
220307000558	2022-05-03 16:16:22	2022-03-28	RUA PROCOPIO RIBEIRO DE SA	Urbana	Bairro	EXPOSICAO					314090	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	14:50:00
FR 17996	2022-06-23 08:27:26	2022-03-30		Rural	Povoado/Lugarejo	DEGREDO	Casa	AUZENIR SONIA C CAVATTI			320320	SOLUÇÃO ALTERNATIVA		Desastre	14:25:00
220532000086	2023-02-27 12:32:43	2022-04-04	SITIO LAJES GARANHUNS PE								260600	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	08:40:00
220532000085	2023-02-27 12:25:16	2022-04-04	SITIO LAJES GARANHUNS PE								260600	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	08:42:00
220532000087	2023-02-27 12:35:20	2022-04-04	ETA ESTAÇÃO DE TRATAMENTO DE ÁGUA DE GARANHUNS PE	Urbana	Bairro	SAO JOSE					260600	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	09:21:00
220916000092	2022-10-04 16:38:49	2022-04-04	SITIO BARRIGUDA	Urbana	Sede de distrito (ou vila)	NASCENTE					260110	SOLUÇÃO ALTERNATIVA		Rotina	10:40:00
220916000093	2022-10-04 16:42:39	2022-04-04	SITIO BARRIGUDA	Urbana	Sede de distrito (ou vila)	NASCENTE					260110	SOLUÇÃO ALTERNATIVA		Rotina	10:40:00
220916000090	2022-10-24 11:25:45	2022-04-04	FAZENDA LAGOA DO BARRO	Urbana	Sede de distrito (ou vila)	LAGOA DO BARRO					260110	SOLUÇÃO ALTERNATIVA		Rotina	12:10:00
220916000091	2022-10-24 11:31:04	2022-04-04	FAZENDA LAGOA DO BARRO	Urbana	Sede de distrito (ou vila)	LAGOA DO BARRO					260110	SOLUÇÃO ALTERNATIVA		Rotina	12:10:00
FR 19578	2024-05-15 08:20:57	2022-04-06									320320	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Desastre	14:02:00
221122000047	2022-07-07 10:29:15	2022-04-11	AV.  JOSÉ VERISSIMO DOS SANTOS. S/N	Urbana	Bairro	ACADEMIA DAS CIDADES	Praça	ACADEMIA DAS CIDADES			261570	SOLUÇÃO ALTERNATIVA		Rotina	08:00:00
221122000048	2022-07-07 10:38:12	2022-04-11	AV. JOSÉ VERISSIMO DOS SANTOS, S/N	Urbana	Bairro	ACADEMIA DAS CIDADES	Praça	ACADEMIA DAS CIDADES			261570	SOLUÇÃO ALTERNATIVA		Rotina	08:05:00
220101000315	2022-06-08 09:25:16	2022-04-11	TORNEIRA SAIDA COMPORTA - BARRAGEM DE SERRINHA	Rural	Povoado/Lugarejo	POVOADO POCO DA CERCA					261390	SOLUÇÃO ALTERNATIVA		Rotina	08:30:00
13/2022	2022-04-19 07:22:08	2022-04-11	AVENIDA CADIGE FAITARONE FERES Nº 153 BAIRRO: EDUARDO GIRAUDON	Urbana	Bairro	CENTRO					312700	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	15:15:00
14/2022	2022-04-19 07:26:58	2022-04-11	BR 153 Nº S/Nº BAIRRO: CENTRO	Urbana	Bairro	CENTRO					312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	17:25:00
15/2022	2022-04-19 07:30:57	2022-04-11	RUA CAMPO FLORIDO Nº 395 BAIRRO: JARDIM ÂNGELO PASSUELO	Urbana	Bairro	JARDIM A PASSUELO	Creche	CRECHE DONA MENCORA			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	17:30:00
16/2022	2022-04-19 07:34:33	2022-04-11	RUA GODOFREDO ANTONIO DA COSTA Nº 238 BAIRRO: DISTRITO SANTO ANTONIO DO RIO GRANDE	Urbana	Sede de distrito (ou vila)	SANTO ANTONIO DO RIO GRANDE	Estabelecimento de ensino	ESCOLA MUNICIPAL MARECHAL CASTELO BRANCO			312700	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	17:40:00
17/2022	2022-04-19 07:37:55	2022-04-11	AVENIDA AURÉLIO LUIZ MISTIERI Nº 370 BAIRRO: CENTRO	Urbana	Bairro	CENTRO	Estabelecimento de ensino	ESCOLA ESTADUAL POLIANO ZIZA FERREIRA			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	17:50:00
18/2022	2022-04-19 07:41:05	2022-04-11	RUA HIGINO FLORÊNCIO DE SOUZA Nº 880 BAIRRO: VILA REIS	Urbana	Bairro	VILA REIS	Estabelecimento de saúde	ESF TONICO MORAIS			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	18:05:00
220264000068	2022-06-27 16:27:33	2022-04-13	AVENIDA PRIMEIRO DE JANEIRO	Urbana	Bairro	CENTRO					291460	SOLUÇÃO ALTERNATIVA		Rotina	08:44:00
220202000162	2022-08-25 13:44:35	2022-04-13		Urbana	Bairro	CAMPO LIMPO					291080	SISTEMA DE DISTRIBUIÇÃO	Torneira antes da reservação	Rotina	10:10:00
220101000138	2022-07-07 13:25:37	2022-04-13	ROD BR 415 S/N SÃO LOURENÇO	Urbana	Área urbana isolada	BR 101					291480	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	14:28:00
220101000135	2025-07-16 11:06:50	2022-04-13	MURITIBA, BR 101, KM 24	Rural	Povoado/Lugarejo	GRAVATA					290980	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	15:00:00
220101000339	2022-09-02 11:15:24	2022-04-18	RUA BOA VIAGEM 700	Urbana	Bairro	PETROPOLIS					260410	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	09:37:00
220101000345	2022-09-02 11:24:59	2022-04-18	RUA BOA VIAGEM 700	Urbana	Bairro	PETROPOLIS					260410	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	09:37:00
220101000338	2022-09-02 11:11:44	2022-04-18	RUA BARTOLOMEU DE ANACLETO 10	Urbana	Bairro	SALGADO					260410	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:02:00
220101000344	2022-09-02 11:23:02	2022-04-18	RUA BARTOLOMEU DE ANACLETO 10	Urbana	Bairro	SALGADO					260410	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:02:00
220101000341	2022-09-02 11:20:18	2022-04-18	ETA BEZERROS								260190	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	10:40:00
220101000347	2022-09-02 11:28:16	2022-04-18	ETA BEZERROS								260190	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	10:40:00
220101000340	2022-09-02 11:17:36	2022-04-18	ETA BEZERROS	Urbana	Bairro	CENTRO					260190	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:45:00
220101000346	2022-09-02 11:26:29	2022-04-18	ETA BEZERROS	Urbana	Bairro	CENTRO					260190	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:45:00
220101000343	2022-09-02 11:25:14	2022-04-18	RUA SÃO PEDRO S/N								260640	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	11:23:00
220101000349	2022-09-02 11:31:29	2022-04-18	RUA SAO PEDRO SN								260640	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	11:23:00
220101000342	2022-09-02 11:22:39	2022-04-18	RUA SÃO PEDRO S/N	Urbana	Bairro	CRUZEIRO					260640	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	11:27:00
220101000348	2022-09-02 11:29:59	2022-04-18	RUA SAO PEDRO SN	Urbana	Bairro	CRUZEIRO					260640	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	11:27:00
220101000140	2022-05-25 14:21:23	2022-04-18	RUA MINAS GERAIS, S/N; SANTO ANTÔNIO	Urbana	Bairro	SANTO ANTONIO					291840	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	14:20:00
220110000044	2022-05-16 16:34:26	2022-04-26	AVENIDA EDGARD SANTOS	Urbana	Bairro	CABULA	Estabelecimento de saúde	HOSPITAL ROBERTO SANTOS 	-129.584.188	-384.523.851	292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	08:52:00
220110000045	2022-05-16 16:36:21	2022-04-26	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA LIBERDADE RESERVATORIO R7 L05069	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:01:00
220110000046	2022-05-16 16:38:07	2022-04-26	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA DA CAMARA NOVA RESERVATORIO R7 L05027	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:05:00
220110000047	2022-05-16 16:40:15	2022-04-26	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA DA ETA PRINCIPAL	-12.958.587	-384.673.789	292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:06:00
